"station_id","device_id","template_id","campaign_alias","campaign_start_date","campaign_start_time","campaign_end_date","campaign_end_time","playlist_id","creation_date","creation_time","submission_id","priority","exclusive","text_field_1","text_field_2","text_field_3","text_field_4","media_url_1","media_url_2"
"NL101","1","0","OSTER-SPECIAL!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","866fb816-81ea-4f6d-81a5-3a47c8fd2458","false","true","52%","24€","20","Mega-Über-Super Paket","https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",""
"NL102","1","0","DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL103","1","0","POLLENSTAUB AKTION!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","51%","12€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL104","1","0","SAHARASAND!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","50%","24€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL106","1","0","HEUTE DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL110","1","0","OSTER-SPECIAL!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","866fb816-81ea-4f6d-81a5-3a47c8fd2458","false","true","52%","24€","20","Mega-Über-Super Paket","https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",""
"NL112","1","0","DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL115","1","0","POLLENSTAUB AKTION!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","51%","12€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL116","1","0","SAHARASAND!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","50%","24€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL117","1","0","HEUTE DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL119","1","0","OSTER-SPECIAL!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","866fb816-81ea-4f6d-81a5-3a47c8fd2458","false","true","52%","24€","20","Mega-Über-Super Paket","https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",""
"NL123","1","0","DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL124","1","0","HEUTE DISCOWÄSCHE!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","043693c7-074e-4ed8-81f7-22cdcf6bacf1","false","false","53%","36€","30","Ultra-Premium-Über-Glanz Paket","https://example.com/image1.jpg",""
"NL126","1","0","OSTER-SPECIAL!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","866fb816-81ea-4f6d-81a5-3a47c8fd2458","false","true","52%","24€","20","Mega-Über-Super Paket","https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",""
"NL127","1","1","POLLENSTAUB AKTION!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","51%","12€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL128","1","1","SAHARASAND!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","c0f0a31f-740f-4a46-8b51-e85ee762e64c","true","true","50%","24€","10€","Premium-Wäsche Paket","https://example.com/image1.jpg",""
"NL129","1","1","OSTER-SPECIAL!","2025-04-17","11:42:46","","","","2025-04-17","11:42:46","866fb816-81ea-4f6d-81a5-3a47c8fd2458","false","true","52%","24€","20","Mega-Über-Super Paket","https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",""
